SUBSTÂNCIA,EAN 3,APRESENTAÇÃO,CLASSE TERAPÊUTICA,DESTINAÇÃO COMERCIAL 
PARACETAMOL;CLORIDRATO DE FENILEFRINA,    -     ,800 MG + 20 MG CT BL AL PLAS TRANS X 10 COM AMARELO + 10 COM BRANCO,R5A - ANTIGRIPAIS SEM ANTIINFECCIOSOS,
PARACETAMOL;CLORIDRATO DE FENILEFRINA,    -     ,800 MG + 20 MG CT BL AL PLAS TRANS X 50 COM AMARELO + 50 COM BRANCO,R5A - ANTIGRIPAIS SEM ANTIINFECCIOSOS,
PARACETAMOL;CLORIDRATO DE FENILEFRINA,    -     ,800 MG + 20 MG CT BL AL PLAS TRANS X 6 COM AMARELO + 6 COM BRANCO,R5A - ANTIGRIPAIS SEM ANTIINFECCIOSOS,
PARACETAMOL;CLORIDRATO DE FENILEFRINA,    -     ,800 MG + 20 MG CT BL AL PLAS TRANS X 10 COM AMARELO + 10 COM BRANCO,R5A - ANTIGRIPAIS SEM ANTIINFECCIOSOS,
PARACETAMOL;CLORIDRATO DE PSEUDOEFEDRINA,    -     ,500 MG + 30 MG COM REV CT BL AL PLAS OPC X 24,R5A - ANTIGRIPAIS SEM ANTIINFECCIOSOS,
PARACETAMOL;CLORIDRATO DE PSEUDOEFEDRINA,    -     ,500 MG + 30 MG COM REV CT BL AL PLAS OPC X 4,R5A - ANTIGRIPAIS SEM ANTIINFECCIOSOS,
PARACETAMOL;CLORIDRATO DE PSEUDOEFEDRINA,    -     ,500 MG + 30 MG COM REV CT BL AL PLAS OPC X 8,R5A - ANTIGRIPAIS SEM ANTIINFECCIOSOS,
PARACETAMOL;CLORIDRATO DE PSEUDOEFEDRINA,    -     ,500 MG + 30 MG COM REV CT BL AL PLAS OPC X 10,R5A - ANTIGRIPAIS SEM ANTIINFECCIOSOS,
PARACETAMOL;CLORIDRATO DE PSEUDOEFEDRINA,    -     ,500 MG + 30 MG COM REV CT BL AL PLAS OPC X 16,R5A - ANTIGRIPAIS SEM ANTIINFECCIOSOS,
PARACETAMOL;CLORIDRATO DE PSEUDOEFEDRINA,    -     ,500 MG + 30 MG COM REV CT BL AL PLAS OPC X 20,R5A - ANTIGRIPAIS SEM ANTIINFECCIOSOS,
PARACETAMOL;CLORIDRATO DE PSEUDOEFEDRINA,    -     ,500 MG + 30 MG COM REV CT BL AL PLAS OPC X 24,R5A - ANTIGRIPAIS SEM ANTIINFECCIOSOS,
PARACETAMOL;CLORIDRATO DE PSEUDOEFEDRINA,    -     ,500 MG + 30 MG COM REV CT BL AL PLAS OPC X 24,R5A - ANTIGRIPAIS SEM ANTIINFECCIOSOS,
PARACETAMOL;CLORIDRATO DE PSEUDOEFEDRINA,    -     ,500 MG + 30 MG COM REV CT BL AL/PAP PLAS PVDC TRANS X 24,R5A - ANTIGRIPAIS SEM ANTIINFECCIOSOS,
PARACETAMOL;CLORIDRATO DE PSEUDOEFEDRINA,    -     ,500 MG + 30 MG COM REV CT BL AL/PAP PLAS PVDC TRANS X 36,R5A - ANTIGRIPAIS SEM ANTIINFECCIOSOS,
PARACETAMOL;FOSFATO DE CODEÍNA,    -     ,500MG + 30MG COM CT BL AL PVC/PCTFE TRANS X 12,N2A - ANALGÉSICOS NARCÓTICOS,
PARACETAMOL;FOSFATO DE CODEÍNA,    -     ,500MG + 30MG COM CT BL AL PVC/PCTFE TRANS X 24,N2A - ANALGÉSICOS NARCÓTICOS,
PARACETAMOL;FOSFATO DE CODEÍNA,    -     ,500MG + 30MG COM CT BL AL PVC/PCTFE TRANS X 36,N2A - ANALGÉSICOS NARCÓTICOS,
PARACETAMOL;FOSFATO DE CODEÍNA,    -     ,500MG + 30MG COM CT BL AL PVC/PCTFE TRANS X 48,N2A - ANALGÉSICOS NARCÓTICOS,
PARACETAMOL;FOSFATO DE CODEÍNA,    -     ,500MG + 30MG COM CT BL AL PVC/PCTFE TRANS X 24,N2A - ANALGÉSICOS NARCÓTICOS,
PARACETAMOL;FOSFATO DE CODEÍNA,    -     ,500MG + 30MG COM CT BL AL PVC/PCTFE TRANS X 36,N2A - ANALGÉSICOS NARCÓTICOS,
PARACETAMOL;FOSFATO DE CODEÍNA,    -     ,"(500,0 + 30,0) MG COM CT BL AL PVC/PCTFE TRANS X 12",N2A - ANALGÉSICOS NARCÓTICOS,
PARACETAMOL;FOSFATO DE CODEÍNA,    -     ,"(500,0 + 30,0) MG COM CT BL AL PVC/PCTFE TRANS X 24",N2A - ANALGÉSICOS NARCÓTICOS,
PARACETAMOL;FOSFATO DE CODEÍNA,    -     ,"(500,0 + 30,0) MG COM CT BL AL PVC/PCTFE TRANS X 36",N2A - ANALGÉSICOS NARCÓTICOS,
PARACETAMOL;FOSFATO DE CODEÍNA,    -     ,500 MG + 30 MG COM CT BL AL PLAS OPC X 24,N2A - ANALGÉSICOS NARCÓTICOS,
PARACETAMOL;FOSFATO DE CODEÍNA,    -     ,500 MG + 30 MG COM CT BL AL PLAS OPC X 36,N2A - ANALGÉSICOS NARCÓTICOS,
PARACETAMOL;FOSFATO DE CODEÍNA,    -     ,500 MG + 30 MG COM CT BL AL PLAS OPC X 12,N2A - ANALGÉSICOS NARCÓTICOS,
PARACETAMOL;FOSFATO DE CODEÍNA,    -     ,500MG + 30MG COM CT BL AL PVC/PCTFE TRANS X 12,N2A - ANALGÉSICOS NARCÓTICOS,
PARACETAMOL;FOSFATO DE CODEÍNA,    -     ,500MG + 30MG COM CT BL AL PVC/PCTFE TRANS X 24,N2A - ANALGÉSICOS NARCÓTICOS,
PARACETAMOL;FOSFATO DE CODEÍNA,    -     ,500MG + 30MG COM CT BL AL PVC/PCTFE TRANS X 36,N2A - ANALGÉSICOS NARCÓTICOS,
PARACETAMOL;FOSFATO DE CODEÍNA,    -     ,"500 MG + 7,5 MG COM CT  BL AL PLAS TRANS X 12",N2A - ANALGÉSICOS NARCÓTICOS,
PARACETAMOL;FOSFATO DE CODEÍNA,    -     ,500 MG + 30 MG COM CT  BL AL PLAS OPC X 12,N2A - ANALGÉSICOS NARCÓTICOS,
PARACETAMOL;FOSFATO DE CODEÍNA,    -     ,500 MG + 30 MG COM CT  BL AL PLAS OPC X 24,N2A - ANALGÉSICOS NARCÓTICOS,
PARACETAMOL;FOSFATO DE CODEÍNA,    -     ,500 MG + 30 MG COM CT  BL AL PLAS OPC X 36,N2A - ANALGÉSICOS NARCÓTICOS,
PARACETAMOL;FOSFATO DE CODEÍNA,    -     ,500 MG + 30 MG COM CT BL AL PLAS TRANS X 12,N2A - ANALGÉSICOS NARCÓTICOS,
PARACETAMOL;FOSFATO DE CODEÍNA,    -     ,"(500,0 + 30,0) MG COM CT BL AL PLAS TRANS X 12 ",N2A - ANALGÉSICOS NARCÓTICOS,
PARACETAMOL;FOSFATO DE CODEÍNA,    -     ,"(500,0 + 30,0) MG COM CT BL AL PLAS TRANS X 24",N2A - ANALGÉSICOS NARCÓTICOS,
PARACETAMOL;FOSFATO DE CODEÍNA,    -     ,"(500,0 + 30,0) MG COM CT BL AL PLAS TRANS X 12 ",N2A - ANALGÉSICOS NARCÓTICOS,
PARACETAMOL;FOSFATO DE CODEÍNA,    -     ,"(500,0 + 30,0) MG COM CT BL AL PLAS TRANS X 24",N2A - ANALGÉSICOS NARCÓTICOS,
PARACETAMOL;FOSFATO DE CODEÍNA,    -     ,"(500,0 + 30,0) MG COM CT BL AL PLAS TRANS X 36",N2A - ANALGÉSICOS NARCÓTICOS,
PARACETAMOL;FOSFATO DE CODEÍNA,    -     ,500 MG + 30 MG COM CT BL AL PLAS OPC X 12,N2A - ANALGÉSICOS NARCÓTICOS,
PARACETAMOL;FOSFATO DE CODEÍNA,    -     ,500 MG + 30 MG COM CT BL AL PLAS OPC X 24,N2A - ANALGÉSICOS NARCÓTICOS,
PARACETAMOL;FOSFATO DE CODEÍNA,    -     ,500 MG + 30 MG COM CT BL AL PLAS OPC X 36,N2A - ANALGÉSICOS NARCÓTICOS,
PARACETAMOL;FOSFATO DE CODEÍNA,    -     ,500 MG + 30 MG COM CT BL AL PLAS TRANS X 24,N2A - ANALGÉSICOS NARCÓTICOS,
PARACETAMOL;FOSFATO DE CODEÍNA,    -     ,500 MG + 30 MG COM CT BL AL PLAS TRANS X 36,N2A - ANALGÉSICOS NARCÓTICOS,
PARACETAMOL;FOSFATO DE CODEÍNA HEMI-HIDRATADO,    -     ,500MG + 30MG COM CT BL AL PVC/PCTFE TRANS X 12,N2A - ANALGÉSICOS NARCÓTICOS,
PARACETAMOL;FOSFATO DE CODEÍNA HEMI-HIDRATADO,    -     ,"(500,0 + 30,0) MG COM CT BL  AL PLAS PVC TRANS X 12",N2A - ANALGÉSICOS NARCÓTICOS,
PARACETAMOL;FOSFATO DE CODEÍNA HEMI-HIDRATADO,    -     ,"(500,0 + 30,0) MG COM CT BL  AL PLAS PVC TRANS X 36",N2A - ANALGÉSICOS NARCÓTICOS,
PARACETAMOL;FOSFATO DE CODEÍNA HEMI-HIDRATADO,    -     ,"(500,0 + 30,0) MG COM CT BL  AL PLAS PVC TRANS X 12",N2A - ANALGÉSICOS NARCÓTICOS,
PARACETAMOL;FOSFATO DE CODEÍNA HEMI-HIDRATADO,    -     ,"(500,0 + 30,0) MG COM CT BL  AL PLAS PVC TRANS X 36",N2A - ANALGÉSICOS NARCÓTICOS,
PARACETAMOL;FOSFATO DE CODEÍNA HEMI-HIDRATADO,    -     ,(500+30) MG COM CT BL AL PLAS PCTFE/PVC TRANS X 6,N2A - ANALGÉSICOS NARCÓTICOS,
PARACETAMOL;FOSFATO DE CODEÍNA HEMI-HIDRATADO,    -     ,(500+30) MG COM CT BL AL PLAS PCTFE/PVC TRANS X 12,N2A - ANALGÉSICOS NARCÓTICOS,
PARACETAMOL;FOSFATO DE CODEÍNA HEMI-HIDRATADO,    -     ,(500+30) MG COM CT BL AL PLAS PCTFE/PVC TRANS X 15,N2A - ANALGÉSICOS NARCÓTICOS,
PARACETAMOL;FOSFATO DE CODEÍNA HEMI-HIDRATADO,    -     ,(500+30) MG COM CT BL AL PLAS PCTFE/PVC TRANS X 24,N2A - ANALGÉSICOS NARCÓTICOS,
PARACETAMOL;FOSFATO DE CODEÍNA HEMI-HIDRATADO,    -     ,(500+30) MG COM CT BL AL PLAS PCTFE/PVC TRANS X 30,N2A - ANALGÉSICOS NARCÓTICOS,
PARACETAMOL;FOSFATO DE CODEÍNA HEMI-HIDRATADO,    -     ,(500+30) MG COM CT BL AL PLAS PCTFE/PVC TRANS X 100,N2A - ANALGÉSICOS NARCÓTICOS,
PARACETAMOL;FOSFATO DE CODEÍNA HEMI-HIDRATADO,    -     ,(500+30) MG COM CT BL AL PLAS PCTFE/PVC TRANS X 200,N2A - ANALGÉSICOS NARCÓTICOS,
PARACETAMOL;FOSFATO DE CODEÍNA HEMI-HIDRATADO,    -     ,(500+30) MG COM CT BL AL PLAS PCTFE/PVC TRANS X 300,N2A - ANALGÉSICOS NARCÓTICOS,
PARACETAMOL;FOSFATO DE CODEÍNA HEMI-HIDRATADO,    -     ,(500+30) MG COM CT BL AL PLAS PCTFE/PVC TRANS X 500,N2A - ANALGÉSICOS NARCÓTICOS,
PARACETAMOL;FOSFATO DE CODEÍNA HEMI-HIDRATADO,    -     ,"(500,0 + 30,0) MG COM CT BL AL PLAS PVC TRANS X 12",N2A - ANALGÉSICOS NARCÓTICOS,
PARACETAMOL;FOSFATO DE CODEÍNA HEMI-HIDRATADO,    -     ,"(500,0 + 30,0) MG COM CT BL AL PLAS PVC TRANS X 24",N2A - ANALGÉSICOS NARCÓTICOS,
PARACETAMOL;MALEATO DE CARBINOXAMINA;CLORIDRATO DE FENILEFRINA,    -     ,"(40,0 + 1,0 + 0,4) MG/ML SOL OR CT FR VD AMB X 60 ML + COP",R5A - ANTIGRIPAIS SEM ANTIINFECCIOSOS,
PARACETAMOL;MALEATO DE CARBINOXAMINA;CLORIDRATO DE FENILEFRINA,    -     ,"(40,0 + 1,0 + 0,4) MG/ML SOL OR CT FR VD AMB X 120 ML + COP",R5A - ANTIGRIPAIS SEM ANTIINFECCIOSOS,
PARACETAMOL;MALEATO DE CARBINOXAMINA;CLORIDRATO DE FENILEFRINA,    -     ,(400 + 20) MG COM AMARELO/ (400 + 4) MG COM LARANJA CT BL AL PLAS PVC TRANS X 100 + 100,R5A - ANTIGRIPAIS SEM ANTIINFECCIOSOS,
PARACETAMOL;MALEATO DE CARBINOXAMINA;CLORIDRATO DE FENILEFRINA,    -     ,(400 + 20) MG COM AMARELO/ (400 + 4) MG  COM LARANJA CT BL AL PLAS PVC TRANS X 10 + 10,R5A - ANTIGRIPAIS SEM ANTIINFECCIOSOS,
PARACETAMOL;MALEATO DE CARBINOXAMINA;CLORIDRATO DE FENILEFRINA,    -     ,400 MG + 20 MG COM AMARELO/400 MG + 4 MG COM LARANJA CT BL AL/AL X 12 + 12,R5A - ANTIGRIPAIS SEM ANTIINFECCIOSOS,
PARACETAMOL;MALEATO DE CARBINOXAMINA;CLORIDRATO DE FENILEFRINA,    -     ,400 MG + 20 MG COM AMARELO/400 MG + 4 MG COM LARANJA DISP BL AL/AL X 100 + 100,R5A - ANTIGRIPAIS SEM ANTIINFECCIOSOS,
PARACETAMOL;MALEATO DE CARBINOXAMINA;CLORIDRATO DE FENILEFRINA,    -     ,400 MG + (400 MG + 20 MG) + (400 MG + 4 MG) COM CT BL AL/AL X 8 +12 + 4,R5A - ANTIGRIPAIS SEM ANTIINFECCIOSOS,
PARACETAMOL;MALEATO DE CARBINOXAMINA;CLORIDRATO DE FENILEFRINA,    -     ,400 MG + (400 MG + 20 MG) + (400 MG + 4 MG) COM CX BL AL/AL X 50 +75 +25,R5A - ANTIGRIPAIS SEM ANTIINFECCIOSOS,
PARACETAMOL;MALEATO DE CARBINOXAMINA;CLORIDRATO DE FENILEFRINA,    -     ,"(13,30 + 0,33 + 0,13) MG/ML SOL OR FR PLAS TRANS X 240 ML + COP",R5A - ANTIGRIPAIS SEM ANTIINFECCIOSOS,
PARACETAMOL;MALEATO DE CARBINOXAMINA;CLORIDRATO DE FENILEFRINA,    -     ,400MG + 20MG COM AMARELO/ 400MG + 4MG COM LARANJA CT BL AL PLAS TRANS X 10 + 10,R5A - ANTIGRIPAIS SEM ANTIINFECCIOSOS,
PARACETAMOL;MALEATO DE CARBINOXAMINA;CLORIDRATO DE FENILEFRINA,    -     ,400MG + 20MG COM AMARELO/ 400MG + 4MG COM LARANJA CT BL AL PLAS TRANS X 50 + 50,R5A - ANTIGRIPAIS SEM ANTIINFECCIOSOS,
PARACETAMOL;MALEATO DE CARBINOXAMINA;CLORIDRATO DE FENILEFRINA,    -     ,400MG + 20MG COM AMARELO/ 400MG + 4MG COM LARANJA CT BL AL PLAS TRANS X 10 + 10,R5A - ANTIGRIPAIS SEM ANTIINFECCIOSOS,
PARACETAMOL;MALEATO DE CARBINOXAMINA;CLORIDRATO DE FENILEFRINA,    -     ,400MG + 20MG COM AMARELO/ 400MG + 4MG COM LARANJA CT BL AL PLAS TRANS X 50 + 50,R5A - ANTIGRIPAIS SEM ANTIINFECCIOSOS,
PARACETAMOL;MALEATO DE CARBINOXAMINA;CLORIDRATO DE FENILEFRINA,    -     ,400MG + 20MG COM AMARELO / 400MG + 4MG COM LARANJA CT BL AL PLAS TRANS X 6 + 6,R5A - ANTIGRIPAIS SEM ANTIINFECCIOSOS,
PARECOXIBE SÓDICO,    -     ,40 MG PO LIOF SOL INJ IV/IM CT 10 FA VD TRANS,M1A3 - COXIBS,
PARECOXIBE SÓDICO,    -     ,40 MG PO LIOF SOL INJ IV/IM CT 10 FA VD TRANS,M1A3 - COXIBS,
PARECOXIBE SÓDICO,    -     ,40 MG PO LIOF SOL INJ CT 10 FA VD TRANS,M1A3 - COXIBS,
PARECOXIBE SÓDICO,    -     ,40 MG PO LIOF SOL INJ IV/IM CT 10 FA VD TRANS,M1A3 - COXIBS,
PARECOXIBE SÓDICO,    -     ,40 MG PO LIOF SOL INJ IV/IM CT 10 FA VD TRANS,M1A3 - COXIBS,
PARICALCITOL,    -     ,"5,0 MCG/ML SOL INJ IV CT ENVOL 5 AMP VD TRANS X 1 ML",H4F - PRODUTOS ANTIPARATIREOIDEANOS,
PARICALCITOL,    -     ,"5,0 MCG/ML SOL INJ IV CT ENVOL 5 AMP VD TRANS X 2 ML",H4F - PRODUTOS ANTIPARATIREOIDEANOS,
PARICALCITOL,    -     ,"5,0 MCG/ML SOL INJ IV CT ENVOL 5 AMP VD TRANS X 1 ML",H4F - PRODUTOS ANTIPARATIREOIDEANOS,
PARICALCITOL,    -     ,"5,0 MCG/ML SOL INJ CT 5 AMP VD INC X 1 ML   ",H4F - PRODUTOS ANTIPARATIREOIDEANOS,
PARICALCITOL,    -     ,"5,0 MCG/ML SOL INJ CT 5 FA VD TRANS X 1 ML",H4F - PRODUTOS ANTIPARATIREOIDEANOS,
PARTÍCULA SEMELHANTE A VÍRUS DE PROTEÍNA L1 DO HPV DO TIPO 16;PARTÍCULA SEMELHANTE A VÍRUS DE PROTEÍNA L1 DO HPV DO TIPO 18;PARTÍCULA SEMELHANTE A VÍRUS DE PROTEÍNA L1 DO HPV DO TIPO 6;PARTÍCULA SEMELHANTE A VÍRUS DE PROTEÍNA L1 DO HPV DO TIPO 11,    -     ,"SUS INJ CT 01 SER PREENCH VD INC X 0,5 ML ",J7E3 - VACINA CONTRA HPV (PAPILOMAVIRUS HUMANO),
PARTÍCULA SEMELHANTE A VÍRUS DE PROTEÍNA L1 DO HPV DO TIPO 16;PARTÍCULA SEMELHANTE A VÍRUS DE PROTEÍNA L1 DO HPV DO TIPO 18;PARTÍCULA SEMELHANTE A VÍRUS DE PROTEÍNA L1 DO HPV DO TIPO 6;PARTÍCULA SEMELHANTE A VÍRUS DE PROTEÍNA L1 DO HPV DO TIPO 11,    -     ,"SUS INJ IM CT 10 FA VD INC TAMPA FLUROTEC X 0,5 ML",J7E3 - VACINA CONTRA HPV (PAPILOMAVIRUS HUMANO),
PARTÍCULA SEMELHANTE A VÍRUS DE PROTEÍNA L1 DO HPV DO TIPO 58;PARTÍCULA SEMELHANTE A VÍRUS DE PROTEÍNA L1 DO HPV DO TIPO 16;PARTÍCULA SEMELHANTE A VÍRUS DE PROTEÍNA L1 DO HPV DO TIPO 18;PARTÍCULA SEMELHANTE A VÍRUS DE PROTEÍNA L1 DO HPV DO TIPO 6;PARTÍCULA SEMELHANTE A VÍRUS DE PROTEÍNA L1 DO HPV DO TIPO 31;PARTÍCULA SEMELHANTE A VÍRUS DE PROTEÍNA L1 DO HPV DO TIPO 52;PARTÍCULA SEMELHANTE A VÍRUS DE PROTEÍNA L1 DO HPV DO TIPO 33;PARTÍCULA SEMELHANTE A VÍRUS DE PROTEÍNA L1 DO HPV DO TIPO 11;PARTÍCULA SEMELHANTE A VÍRUS DE PROTEÍNA L1 DO HPV DO TIPO 45,    -     ,"SUS INJ CT 1 SER PREENCH VD INC X 0,5 ML",J7E3 - VACINA CONTRA HPV (PAPILOMAVIRUS HUMANO),
PASSIFLORA INCARNATA,    -     ,500 MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 20,V07A2 - OUTROS PRODUTOS,
PASSIFLORA INCARNATA,    -     ,500 MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 30,V07A2 - OUTROS PRODUTOS,
PASSIFLORA INCARNATA,    -     ,500 MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 60,N5B5 - HIPNÓTICOS E SEDATIVOS HERBÁCEOS,
PASSIFLORA INCARNATA,    -     ,1ML/ML TINT CT FR PLAS AMB X 120ML + CP MED,N5B5 - HIPNÓTICOS E SEDATIVOS HERBÁCEOS,
PASSIFLORA INCARNATA L.,    -     ,1000 MG COM REV CT BL AL PLAS PVC/PE/PVDC TRANS X 20,N5B5 - HIPNÓTICOS E SEDATIVOS HERBÁCEOS,
PASSIFLORA INCARNATA L.,    -     ,500 MG COM REV CT BL AL PLAS PVC/PE/PVDC TRANS X 4,N5B5 - HIPNÓTICOS E SEDATIVOS HERBÁCEOS,
PASSIFLORA INCARNATA L.,    -     ,1000 MG COM REV CT BL AL PLAS PVC/PE/PVDC TRANS X 4,N5B5 - HIPNÓTICOS E SEDATIVOS HERBÁCEOS,
PASSIFLORA INCARNATA L.,    -     ,260 MG COM REV CT BL AL PLAS PVDC TRANS X 20,FITO - FITOTERÁPICOS,
PASSIFLORA INCARNATA L.,    -     ,"37,84 MG/ML SOL ORAL CT FR PLAS AMB X 100 ML + COP",N5B5 - HIPNÓTICOS E SEDATIVOS HERBÁCEOS,
PASSIFLORA INCARNATA L.,    -     ,300 MG COM REV CT BL AL PLAS ACLAR TRANS X 20,N5B5 - HIPNÓTICOS E SEDATIVOS HERBÁCEOS,
PASSIFLORA INCARNATA L.,    -     ,900 MG COM REV CT BL AL PLAS PVC ACLAR TRANS X 20,N5B5 - HIPNÓTICOS E SEDATIVOS HERBÁCEOS,
PASSIFLORA INCARNATA L.,    -     ,857 MG COM REV CT BL AL PLAS TRANS X 8,N5B5 - HIPNÓTICOS E SEDATIVOS HERBÁCEOS,
PASSIFLORA INCARNATA L.,    -     ,857 MG COM REV CT BL AL PLAS TRANS X 30,N5B5 - HIPNÓTICOS E SEDATIVOS HERBÁCEOS,
PASSIFLORA INCARNATA L.,    -     ,320 MG COM REV CT BL AL PLAS PVDC TRANS X 20,N5B5 - HIPNÓTICOS E SEDATIVOS HERBÁCEOS,
PASSIFLORA INCARNATA L.,    -     ,320 MG COM REV CT BL AL PLAS PVDC TRANS X 30,N5B5 - HIPNÓTICOS E SEDATIVOS HERBÁCEOS,
PASSIFLORA INCARNATA L.,    -     ,320 MG COM REV CT BL AL PLAS PVDC TRANS X 10,N5B5 - HIPNÓTICOS E SEDATIVOS HERBÁCEOS,
PASSIFLORA INCARNATA L.,    -     ,320 MG COM REV CT BL AL PLAS PVDC TRANS X 20,N5B5 - HIPNÓTICOS E SEDATIVOS HERBÁCEOS,
PATISIRANA SÓDICA,    -     ,2 MG/ML SOL DIL INFUS IV CT FA VD TRANS X 5 ML,N7X - TODOS OS OUTROS PRODUTOS PARA O SISTEMA NERVOSO CENTRAL,
PEGASPARGASE,    -     ,750 U/ML  SOL INJ CT 1 FA VD INC X 5 ML,L1X9 - TODOS OS OUTROS ANTINEOPLÁSICOS,
PEGASPARGASE,    -     ,3750 U PO LIOF SOL INJ CT FA VD TRANS,L1X9 - TODOS OS OUTROS ANTINEOPLÁSICOS,
PEGCETACOPLANA,    -     ,54 MG/ML SOL INFUS SC CT FA VD TRANS X 20 ML,L4X - OUTROS IMUNOSSUPRESSORES,
PEGCETACOPLANA,    -     ,54 MG/ML SOL INFUS SC CT 8 FA VD TRANS X 20 ML,L4X - OUTROS IMUNOSSUPRESSORES,
PEGFILGRASTIM,    -     ,"10 MG/ML SOL INJ SC CT SER PREENC VD TRANS X 0,6 ML + DISP DE SEGURANÇA",L3A1 - FATORES ESTIMULANTES DE COLÔNIAS,
PEGFILGRASTIM,    -     ,"10 MG/ML SOL INJ CT SER PREENCH VD TRANS X 0,6 ML + DISPOSITIVO DE SEGURANÇA",L3A1 - FATORES ESTIMULANTES DE COLÔNIAS,
PEGFILGRASTIM,    -     ,"10 MG/ML SOL INJ CT SER PREENCH VD TRANS X 0,64 ML + APLIC",L3A1 - FATORES ESTIMULANTES DE COLÔNIAS,
PEGFILGRASTIM,    -     ,"10 MG/ML SOL INJ CT SER PREENCH VD TRANS X 0,6 ML + AGU COM SIST SEGURANÇA",L3A1 - FATORES ESTIMULANTES DE COLÔNIAS,
PEGFILGRASTIM,    -     ,"10 MG/ML SOL INJ CT SER PREENC VD TRANS X 0,6ML + SIST SEGURANÇA",L3A1 - FATORES ESTIMULANTES DE COLÔNIAS,
PEGFILGRASTIM,    -     ,"10 MG/ML SOL INJ CT SER PREENCH VD TRANS X 0,6 ML + AGU COM SIST SEGURANÇA",L3A1 - FATORES ESTIMULANTES DE COLÔNIAS,
PEGFILGRASTIM,    -     ,"10 MG/ML SOL INJ SC CT SER VD TRANS PREENC X 0,6 ML",L3A1 - FATORES ESTIMULANTES DE COLÔNIAS,
PEGFILGRASTIM,    -     ,"10 MG/ML SOL INJ SC CT SER VD TRANS PREENC X 0,6 ML",L3A1 - FATORES ESTIMULANTES DE COLÔNIAS,
PEGFILGRASTIM,    -     ,"10 MG/ML SOL INJ SC CT SER VD TRANS PREENC X 0,6 ML + 1 CAN APLIC",L3A1 - FATORES ESTIMULANTES DE COLÔNIAS,
PEGVALIASE,    -     ,"2,5 MG SOL INJ SC CT 1 SER PREENC VD TRANS X 0,5 ML",A16A - OUTROS PRODUTOS PARA O APARELHO DIGESTÓRIO E METABOLISMO,
PEGVALIASE,    -     ,"10 MG SOL INJ SC CT 1 SER PREENC VD TRANS X 0,5 ML",A16A - OUTROS PRODUTOS PARA O APARELHO DIGESTÓRIO E METABOLISMO,
PEGVALIASE,    -     ,20 MG SOL INJ SC CT 1 SER PREENC VD TRANS X 1 ML,A16A - OUTROS PRODUTOS PARA O APARELHO DIGESTÓRIO E METABOLISMO,
PEGVISOMANTO,    -     ,10 MG PO LIOF SOL INJ CT 30 FA VD INC + 30 SER PREENC VD TRANS DIL,H1C2 - HORMÔNIOS ANTICRESCIMENTO,
PEGVISOMANTO,    -     ,15 MG PO LIOF SOL INJ CT 30 FA VD INC + 30 SER PREENC VD TRANS DIL,H1C2 - HORMÔNIOS ANTICRESCIMENTO,
PELARGONIUM SIDOIDES DC.,    -     ,"307,39 MG/ML XPE CT FR PLAS PET AMB X 120 ML + COP + SER DOS",V07A2 - OUTROS PRODUTOS,
PELARGONIUM SIDOIDES DC.,    -     ,"307,39 MG/ML XPE CT FR PLAS PET AMB X 120 ML + COP + SER DOS",R5A - ANTIGRIPAIS SEM ANTIINFECCIOSOS,
PELARGONIUM SIDOIDES DC.,    -     ,"307,39 MG/ML XPE CT FR PLAS PET AMB X 200 ML + COP + SER DOS",R5A - ANTIGRIPAIS SEM ANTIINFECCIOSOS,
PELARGONIUM SIDOIDES DC.,    -     ,825 MG/ML SOL GOT OR CT FR GOT VD AMB X 20 ML ,R5A - ANTIGRIPAIS SEM ANTIINFECCIOSOS,
PELARGONIUM SIDOIDES DC.,    -     ,825 MG/ML SOL GOT OR CT FR GOT VD AMB X 50 ML ,R5A - ANTIGRIPAIS SEM ANTIINFECCIOSOS,
PELARGONIUM SIDOIDES DC.,    -     ,"111,111 MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 6",R5A - ANTIGRIPAIS SEM ANTIINFECCIOSOS,
PELARGONIUM SIDOIDES DC.,    -     ,"111,111 MG COM REV CT BL AL PLAS PVC/ PVDC TRANS X 21",R5A - ANTIGRIPAIS SEM ANTIINFECCIOSOS,
PEMBROLIZUMABE,    -     ,100 MG/ 4 ML SOL DIL INFUS CT FA VD TRANS X 4 ML,"L1G5 - ANTICORPOS MONOCLONAIS ANTINEOPLÁSICOS, PD-1/PD-L1",
PEMBROLIZUMABE,    -     ,100 MG/ 4 ML SOL DIL INFUS CT 2 FA VD TRANS X 4 ML,"L1G5 - ANTICORPOS MONOCLONAIS ANTINEOPLÁSICOS, PD-1/PD-L1",
PEMBROLIZUMABE,    -     ,"395 MG / 2,4 ML SOL INJ CT FA VD TRANS X 2,4 ML","L1G5 - ANTICORPOS MONOCLONAIS ANTINEOPLÁSICOS, PD-1/PD-L1",
PEMBROLIZUMABE,    -     ,"790 MG / 4,8 ML SOL INJ CT FA VD TRANS X 4,8 ML","L1G5 - ANTICORPOS MONOCLONAIS ANTINEOPLÁSICOS, PD-1/PD-L1",
