ALFAESTRADIOL;-;D11A - OUTRAS PREPARAÇÕES DERMATOLOGICAS
ALFAFOLITROPINA;-;G3G - GONADOTROFINAS INCLUINDO OUTROS ESTIMULANTES PARA OVULAÇÃO
ALFAGALSIDASE;-;A16A - OUTROS PRODUTOS PARA O APARELHO DIGESTÓRIO E METABOLISMO
ALFAINTERFERONA 2B;-;J5D1 - ANTIVIRAIS PARA HEPATITE, INTERFERON E RIBAVIRINA
ALFALONOCTOCOGUE;-;B2D1 - FATOR VIII
"ALFALUTROPINA;ALFAFOLITROPINA";-;G3G - GONADOTROFINAS INCLUINDO OUTROS ESTIMULANTES PARA OVULAÇÃO
ALFAMOROCTOCOGUE;-;B2D1 - FATOR VIII
ALFANONACOGUE;-;B2D2 - FATORES II VII IX X
ALFAOCTOCOGUE;-;B2D1 - FATOR VIII
ALFAOLIPUDASE;-;A16A - OUTROS PRODUTOS PARA O APARELHO DIGESTÓRIO E METABOLISMO
"ALFAOXOFENILPROPIONATO DE CÁLCIO;RACEALFAOXOGAMAMETILPENTANOATO DE CÁLCIO;TRIPTOFANO;RACEALFA-HIDROXIGAMAMETILTIOBUTANOATO DE CÁLCIO;RACEALFAOXOBETAMETILPENTANOATO DE CÁLCIO;HISTIDINA;ACETATO DE LISINA;TREONINA;TIROSINA;RACEALFAOXOBETAMETILBUTANOATO DE CÁLCIO";-;K1E9 - OUTRAS SOLUÇÕES DE AMINOÁCIDOS
ALFAPEGINTERFERONA 2A;-;J5D1 - ANTIVIRAIS PARA HEPATITE, INTERFERON E RIBAVIRINA
ALFAPORACTANTO;-;R7C - SURFACTANTES PULMONARES
ALFARROPEGINTERFERONA 2B;-;L1X9 - TODOS OS OUTROS ANTINEOPLÁSICOS
ALFASIMOCTOCOGUE;-;B2D1 - FATOR VIII
ALFASSEBELIPASE;-;A16A - OUTROS PRODUTOS PARA O APARELHO DIGESTÓRIO E METABOLISMO
ALFATALIGLICERASE;-;A16A - OUTROS PRODUTOS PARA O APARELHO DIGESTÓRIO E METABOLISMO
ALFATIROTROPINA;-;T2X9 - TODOS OS OUTROS TESTES DIAGNÓSTICOS
ALFATUROCTOCOGUE;-;B2D1 - FATOR VIII
ALFATUROCTOCOGUE PEGOL;-;B2D1 - FATOR VIII
ALFAVELAGLICERASE;-;V3H - ENZIMAS ANTIINFLAMATÓRIAS
ALFAVELMANASE;-;A16A - OUTROS PRODUTOS PARA O APARELHO DIGESTÓRIO E METABOLISMO
ALFAVESTRONIDASE;-;A16A - OUTROS PRODUTOS PARA O APARELHO DIGESTÓRIO E METABOLISMO
ALIROCUMABE;-;C10A4 - INIBIDORES DA PRÓ-PROTEINA CONVERTASE SUBTILISINA/KEXINA TIPO 9 (PCSK9)
ALOPURINOL;-;M4A - ANTIGOTOSOS
ALOÍNA;-;A6A9 - OUTRAS DROGAS PARA CONSTIPAÇÃO
ALPELISIBE;-;L1H9 - OUTROS ANTINEOPLÁSICOS INIBIDORES DA PROTEÍNA KINASE
ALPINIA ZERUMBET (PERS.) B.L. BURTT & R.M. SM.;-;M3B - RELAXANTE MUSCULAR DE AÇÃO CENTRAL
ALPRAZOLAM;-;N5C - TRANQUILIZANTES
ALPROSTADIL;-;G4E9 - OUTROS PRODUTOS PARA DISFUNÇÃO ERÉTIL
ALPROSTADIL ALFACICLODEXTRINA;-;C1X - TODAS OUTRAS PREPARAÇÕES CARDÍACAS
ALTEPLASE;-;B1D - FIBRINOLÍTICOS
AMBRISENTANA;-;C6B1 - PRODUTOS HIPERTENSÃO ARTERIAL PULMONAR ANTAGONISTAS RECEPTORES DE ENDOTELINA
AMINAFTONA;-;C5C - VASOPROTETORES SISTÊMICOS
AMINOFILINA;-;R3B2 - ANTIASMÁTICOS/DPOC XANTÍNICOS SISTÊMICOS
AMISSULPRIDA;-;N5A1 - ANTIPSICÓTICOS ATÍPICOS
AMIVANTAMABE;-;L1G9 - ANTICORPOS MONOCLONAIS ANTINEOPLÁSICOS, OUTROS
AMOXICILINA;-;J1C1 - PENICILINAS ORAIS DE AMPLO ESPECTRO
"AMOXICILINA SÓDICA;SULBACTAM SÓDICO";-;J1C2 - PENICILINAS INJETAVEIS DE AMPLO ESPECTRO
AMOXICILINA TRI-HIDRATADA;-;J1C1 - PENICILINAS ORAIS DE AMPLO ESPECTRO
AMOXICILINA TRIHIDRATADA;-;J1C1 - PENICILINAS ORAIS DE AMPLO ESPECTRO
